subText_ID,Text_ID
W1KG16567-I2PD17883,W1KG16567
W322-I1KG16162,W322
W3CN4343-I3CN4572,W3CN4343
W3CN7991-I3CN7993,W3CN7991
W8LS20504-I8LS20506,W8LS20504
W1KG18169-I1KG18210,W1KG18169
W1KG23671-I1KG23778,W1KG23671
W21663-I1KG21894,W21663
W22151-I1PD28106,W22151
W4PD502-I4PD4118,W4PD502
W1KG23711-I1KG23811,W1KG23711
W1KG25168-I1KG25170,W1KG25168
W3PD398-I4PD3255,W3PD398
W4PD502-I4PD4111,W4PD502
W1KG14786-I1KG14823,W1KG14786
W1KG16945-I1KG18203,W1KG16945
W1KG18254-I1KG18300,W1KG18254
W1KG21756-I1KG21853,W1KG21756
W1KG24061-I1KG24227,W1KG24061
W2PD17614-I4PD4237,W2PD17614
W3CN6332-I3CN6334,W3CN6332
W3CN5417-I3CN5419,W3CN5417
W1KG22039-I1KG22082,W1KG22039
W21873-I1KG23233,W21873
W3CN3425-I3CN7751,W3CN3425
W3CN8387-I3CN8389,W3CN8387
W1AC362-I4PD4488,W1AC362
W1AC439-I2PD18828,W1AC439
W1KG23697-I1KG23780,W1KG23697
W1PD105878-I1PD105880,W1PD105878
W3CN7719-I3CN7727,W3CN7719
W1KG16652-I4PD2623,W1KG16652
W1KG21758-I1KG21859,W1KG21758
W3CN3408-I3CN4390,W3CN3408
W8LS20227-I8LS20229,W8LS20227
W00EGS1017328-I00EGS1017330,W00EGS1017328
W1KG18292-I1KG18418,W1KG18292
W1KG21829-I1KG21926,W1KG21829
W21765-I1KG21234,W21765
W3CN4341-I3CN4576,W3CN4341
W3CN8369-I3CN8371,W3CN8369
W4PD502-I4PD4022,W4PD502
W1KG16726-I1KG18288,W1KG16726
W1KG16928-I1KG17096,W1KG16928
W1KG24974-I1KG24976,W1KG24974
W3CN3397-I3CN8566,W3CN3397
W3CN4909-I3CN8669,W3CN4909
W1AC384-I2PD18235,W1AC384
W1KG23718-I1KG23861,W1KG23718
W26078-4413,W26078
W1KG24726-I1KG24728,W1KG24726
W19479-I1GS105458,W19479
W1KG24060-I1KG24225,W1KG24060
W1KG24106-I1KG24259,W1KG24106
W1KG25192-I1KG25194,W1KG25192
W20085-I1KG18040,W20085
W1KG23650-I1KG23727,W1KG23650
W11757-I1KG21868,W11757
W1KG16581-I2PD18463,W1KG16581
W1KG25300-I1KG25302,W1KG25300
W20166-I1KG16756,W20166
W3CN4774-I3CN4776,W3CN4774
W3CN8046-I3CN8409,W3CN8046
W3CN3408-I3CN4428,W3CN3408
W1AC327-I4PD4421,W1AC327
W1AC389-I2PD18245,W1AC389
W1KG13981-I1KG13985,W1KG13981
W1KG16655-I4PD2643,W1KG16655
W1KG16673-I2PD18156,W1KG16673
W1KG25213-I1KG25215,W1KG25213
W3PD398-I4PD3261,W3PD398
W3CN7099-I3CN7117,W3CN7099
W1KG25150-I1KG25152,W1KG25150
W3CN5823-I3CN5827,W3CN5823
W1KG14733-I2PD17899,W1KG14733
W1KG16556-I2PD18843,W1KG16556
W1KG16581-I2PD18456,W1KG16581
W1KG16652-I4PD2620,W1KG16652
W1KG17057-I1KG18472,W1KG17057
W1KG21757-I1KG21857,W1KG21757
W1KG22949-I1KG23014,W1KG22949
W1KG24648-I1KG24715,W1KG24648
W3CN5468-I3CN5470,W3CN5468
W3CN8036-I3CN8038,W3CN8036
W1AC381-I2PD18932,W1AC381
W1KG20781-I1KG20829,W1KG20781
W3CN4648-I3CN4650,W3CN4648
W3CN7920-I3CN7926,W3CN7920
W1AC309-I4PD2746,W1AC309
W1KG14815-I1KG14847,W1KG14815
W1KG16666-I4PD2672,W1KG16666
W1KG18170-I1KG18212,W1KG18170
W28832-I1PD28104,W28832
W3CN7099-I3CN7103,W3CN7099
W3CN7719-I3CN7728,W3CN7719
W2PD17467-I4PD2921,W2PD17467
W1AC282-I2PD18338,W1AC282
W1KG15471-I1KG16265,W1KG15471
W1KG21230-I1KG21305,W1KG21230
W1KG21273-I1KG21315,W1KG21273
W3CN3344-I3CN3448,W3CN3344
W3CN556-I3CN3981,W3CN556
W1KG24723-I1KG24725,W1KG24723
W3CN5481-I3CN5483,W3CN5481
W1AC414-I2PD18364,W1AC414
W1KG17210-I1KG17638,W1KG17210
W1KG18172-I1KG18216,W1KG18172
W1KG23851-I1KG24065,W1KG23851
W1PD152291-I2PD18409,W1PD152291
W2PD17467-I4PD2916,W2PD17467
W3PD246-I2PD18291,W3PD246
W4PD502-I4PD4005,W4PD502
W1KG16464-I1KG16470,W1KG16464
W1KG17281-I1KG17613,W1KG17281
W1KG21838-I1KG21950,W1KG21838
W1KG25195-I1KG25197,W1KG25195
W21943-I1GS54236,W21943
W3CN7910-I3CN7912,W3CN7910
W1KG16726-I1KG18289,W1KG16726
W1KG18765-I1KG20611,W1KG18765
W1KG20639-I1KG20759,W1KG20639
W1PD159451-I4PD4568,W1PD159451
W20829-I1KG24081,W20829
W22298-I1KG18065,W22298
W26078-4406,W26078
W30519-I1KG21795,W30519
W3CN3408-I3CN4443,W3CN3408
W3CN5823-I3CN5831,W3CN5823
W1KG13981-I1KG13988,W1KG13981
W1KG2170-I1KG2189,W1KG2170
W1PD133164-I2PD20423,W1PD133164
W21664-I1PD36393,W21664
W2PD19202-I2PD19217,W2PD19202
W3PD398-I4PD3263,W3PD398
W1AC232-I2PD17903,W1AC232
W1KG13780-I1KG15279,W1KG13780
W1KG16666-I4PD2673,W1KG16666
W1KG16666-I4PD2675,W1KG16666
W1KG23715-I1KG23855,W1KG23715
W1PD152291-I2PD18416,W1PD152291
W3CN4621-I3CN4623,W3CN4621
W3CN3408-I3CN4429,W3CN3408
W3CN5210-I3CN5212,W3CN5210
W1KG14780-I1KG14835,W1KG14780
W4PD502-I4PD3998,W4PD502
W4PD502-I4PD4014,W4PD502
W1KG13810-I1KG15785,W1KG13810
W1KG24016-I1KG24073,W1KG24016
W1KG24612-I1KG24625,W1KG24612
W3CN3417-I3CN4496,W3CN3417
W3CN3425-I3CN7760,W3CN3425
W3CN7719-I3CN7723,W3CN7719
W3CN7913-I3CN7916,W3CN7913
W1KG16714-I2PD18515,W1KG16714
W3CN5456-I3CN5458,W3CN5456
W3CN7920-I3CN7925,W3CN7920
W3PD398-I4PD3276,W3PD398
W3PD398-I4PD3279,W3PD398
W4PD502-I4PD4090,W4PD502
W1AC227-I2PD18725,W1AC227
W1AC309-I4PD2744,W1AC309
W1AC325-I2PD18336,W1AC325
W1AC36-I2PD18191,W1AC36
W1KG24018-I1KG24077,W1KG24018
W1PD137833-I4PD4213,W1PD137833
W29242-I1KG23298,W29242
W3PD406-I2PD18033,W3PD406
W4PD502-I4PD4009,W4PD502
W1KG15471-I1KG16262,W1KG15471
W1PD152291-I2PD18422,W1PD152291
W28969-I1KG22677,W28969
W3CN4346-I3CN4566,W3CN4346
W3CN5096-I3CN5098,W3CN5096
W3CN5441-I3CN5443,W3CN5441
W4PD502-I4PD4120,W4PD502
W4CZ30835-I4CZ30837,W4CZ30835
W1KG16666-I4PD2676,W1KG16666
W3CN5459-I3CN5461,W3CN5459
W1KG13160-I1KG13439,W1KG13160
W1KG14621-I1KG15631,W1KG14621
W1KG16213-I1KG16246,W1KG16213
W1KG16581-I2PD18457,W1KG16581
W1KG478-I1KG482,W1KG478
W1PD133164-I2PD20422,W1PD133164
W1PD133164-I2PD20416,W1PD133164
W1PD137817-I2PD19063,W1PD137817
W20193-I1KG23223,W20193
W25197-I1KG23068,W25197
W30429-I1KG22657,W30429
W3CN5138-I3CN5140,W3CN5138
W3PD398-I4PD3282,W3PD398
W8LS17499-I8LS17506,W8LS17499
W3CN8194-I3CN8196,W3CN8194
W00KG0547-I1KG16101,W00KG0547
W1KG16734-I1KG16775,W1KG16734
W1KG25086-I1KG25088,W1KG25086
W22061-4893,W22061
W29016-I1PD28110,W29016
W3CN7719-I3CN7730,W3CN7719
W1KG24814-I1KG24816,W1KG24814
W1PD133164-I2PD20419,W1PD133164
W29218-I1KG17971,W29218
W3CN5333-I3CN5335,W3CN5333
W3CN7920-I3CN7929,W3CN7920
W3PD398-I4PD3254,W3PD398
W4CZ30835-I4CZ30838,W4CZ30835
W4PD502-I4PD4094,W4PD502
W1AC415-I2PD18358,W1AC415
W1KG23739-I1KG24025,W1KG23739
W1KG4600-I1KG4610,W1KG4600
W1PD105875-I1PD105877,W1PD105875
W1PD133164-I2PD20420,W1PD133164
W3CN7099-I3CN7118,W3CN7099
W3CN7920-I3CN7927,W3CN7920
W4PD502-I4PD4012,W4PD502
W4PD502-I4PD4010,W4PD502
W1AC289-I2PD18301,W1AC289
W1KG16714-I2PD18513,W1KG16714
W1KG18536-I1KG18557,W1KG18536
W21687-I1KG22923,W21687
W2PD19122-I4PD4366,W2PD19122
W3CN7099-I3CN7108,W3CN7099
W3PD411-I2PD17828,W3PD411
W4PD502-I4PD4089,W4PD502
W1KG15977-I1KG15986,W1KG15977
W3CN8060-I3CN8064,W3CN8060
W3CN8060-I3CN8065,W3CN8060
W3PD408-I2PD18037,W3PD408
W4PD502-I4PD3978,W4PD502
W1KG14674-I1KG15758,W1KG14674
W1KG16666-I4PD2695,W1KG16666
W1KG16666-I4PD2684,W1KG16666
W1KG16666-I4PD2674,W1KG16666
W1PD152291-I2PD18410,W1PD152291
W1PD152291-I2PD18421,W1PD152291
W2831-I1KG14584,W2831
W3CN7719-I3CN7722,W3CN7719
W4PD502-I4PD3974,W4PD502
W4PD502-I4PD3979,W4PD502
W19997-I1GS44628,W19997
W3CN5823-I3CN5828,W3CN5823
W1AC309-I4PD2747,W1AC309
W1KG13981-I1KG13987,W1KG13981
W1KG16734-I1KG16776,W1KG16734
W26078-4417,W26078
W3CN5823-I3CN5832,W3CN5823
W3CN7920-I3CN7928,W3CN7920
W3PD398-I4PD3275,W3PD398
W3PD398-I4PD3278,W3PD398
W4PD502-I4PD3975,W4PD502
W00EGS1017555-I1KG15468,W00EGS1017555
W1AC309-I4PD2740,W1AC309
W1AC309-I4PD2741,W1AC309
W1AC364-I2PD17997,W1AC364
W1AC39-I2PD18861,W1AC39
W1KG25092-I1KG25094,W1KG25092
W1KG4884-I1KG4889,W1KG4884
W1PD152291-I2PD18417,W1PD152291
W1PD159423-I2PD19608,W1PD159423
W3CN542-I3CN3786,W3CN542
W3CN8036-I3CN8039,W3CN8036
W4PD502-I4PD3972,W4PD502
W00KG02764-I00KG09984,W00KG02764
W1AC309-I4PD2750,W1AC309
W1KG16666-I4PD2671,W1KG16666
W1KG16666-I4PD2697,W1KG16666
W1KG16714-I2PD18516,W1KG16714
W1KG24915-I1KG24923,W1KG24915
W3PD398-I4PD3268,W3PD398
W4PD502-I4PD3980,W4PD502
W1GS61550-I1GS61552,W1GS61550
W3CN3408-I3CN4440,W3CN3408
W3CN3408-I3CN4395,W3CN3408
W1AC218-I2PD18581,W1AC218
W1AC364-I2PD17992,W1AC364
W1KG13819-I1KG14935,W1KG13819
W1KG14136-I1KG14328,W1KG14136
W1KG16666-I4PD2691,W1KG16666
W1KG4884-I1KG4911,W1KG4884
W1PD133161-I4PD2803,W1PD133161
W22069-I1KG17273,W22069
W1AC223-I2PD18583,W1AC223
W1KG14735-I2PD17814,W1KG14735
W1KG16581-I2PD18460,W1KG16581
W2PD17467-I4PD2929,W2PD17467
W3CN5135-I3CN5137,W3CN5135
W4PD502-I4PD4110,W4PD502
W16484-I1KG13437,W16484
W1AC309-I4PD2754,W1AC309
W1KG15471-I1KG16259,W1KG15471
W1KG16133-I1KG16137,W1KG16133
W1KG24021-I1KG24098,W1KG24021
W1PD137798-I2PD18558,W1PD137798
W22056-I1KG17136,W22056
W3CN7719-I3CN7731,W3CN7719
W4PD502-I4PD4097,W4PD502
W1KG16666-I4PD2668,W1KG16666
W1KG25068-I1KG25070,W1KG25068
W1PD105861-I1PD105863,W1PD105861
W1PD152291-I2PD18418,W1PD152291
W26078-4412,W26078
W4PD502-I4PD4113,W4PD502
W1AC309-I4PD2749,W1AC309
W1AC309-I4PD2743,W1AC309
W1KG16203-I1KG16229,W1KG16203
W1KG16666-I4PD2689,W1KG16666
W1KG16666-I4PD2682,W1KG16666
W1KG16666-I4PD2670,W1KG16666
W1PD152291-I2PD18420,W1PD152291
W26078-4401,W26078
W3CN5823-I3CN5826,W3CN5823
W3CN7099-I3CN7116,W3CN7099
W3CN8060-I3CN8062,W3CN8060
W1KG13759-I1KG15429,W1KG13759
W1KG16666-I4PD2669,W1KG16666
W26078-4400,W26078
W3CN7920-I3CN7924,W3CN7920
W1AC309-I4PD2738,W1AC309
W1KG21830-I1KG21935,W1KG21830
W1PD133161-I4PD2804,W1PD133161
W3CN7719-I3CN7729,W3CN7719
W4PD502-I4PD4098,W4PD502
W18598-I1KG10018,W18598
W1KG16581-I2PD18462,W1KG16581
W1KG17114-I1KG17129,W1KG17114
W3CN3425-I3CN7761,W3CN3425
W4PD502-I4PD4079,W4PD502
W8LS17499-I8LS17507,W8LS17499
W24575-4210,W24575
W1AC20-I2PD18430,W1AC20
W1KG16203-I1KG16228,W1KG16203
W1KG17175-I1KG18042,W1KG17175
W1KG24915-I1KG24917,W1KG24915
